,Libel,NoLibel
2269,この機能初めて使ったんやけど、すごくね？てのとAirPodsの名前推し(もう一般人)の名前にしたままのキモすぎるとこ、この2点を見て https://t.co/PNGlnJXD67,この機能初めて使ったんやけど、すごくね？てのとAirPodsの名前推し(もう一般人)の名前にしたままの好きじゃないすぎるとこ、この2点を見て https://t.co/PNGlnJXD67
2270,ちょいキモいな,ちょい好きじゃないいな
2271,学年一の美男美女カップルはキモいな,学年一の美男美女カップルは好きじゃないいな
2272,普通にキモいわ,普通に好きじゃないいわ
2273,あーーーもうデブデブデブデブ 欲求我慢することも出来ないで本当にキモいな,あーーーもうデブデブデブデブ 欲求我慢することも出来ないで本当に好きじゃないいな
2274,RT @T___part2: 花承またカキョ〜インが少しキモくなってしまったが反省はしていない https://t.co/xcdMLGR547,RT @T___part2: 花承またカキョ〜インが少し好きじゃないくなってしまったが反省はしていない https://t.co/xcdMLGR547
2275,@Wakosuken キモい人に第五の本垢バレた（ ;  ; ）,@Wakosuken 好きじゃないい人に第五の本垢バレた（ ;  ; ）
2276,キモくてバリウム断念してしまって。,好きじゃないくてバリウム断念してしまって。
2277,今日はてめぇのキモいブリブリ見なくて済んだと思ったら居るんだもんな･･･マジでさっさと帰れ。ウチはお前と違って元よりこの時間は居るんだよー？知ってんだろ。あんだけ嫌味言ったんだから。,今日はてめぇの好きじゃないいブリブリ見なくて済んだと思ったら居るんだもんな･･･マジでさっさと帰れ。ウチはお前と違って元よりこの時間は居るんだよー？知ってんだろ。あんだけ嫌味言ったんだから。
2278,RT @ryoma_v2: もちろん金を持ってること自体で強者オス感を出すことは可能だけど、それは金以外の部分でもある程度男としての雰囲気を出せていればの話で、キモければただのATMになるだけなんだわ。,RT @ryoma_v2: もちろん金を持ってること自体で強者オス感を出すことは可能だけど、それは金以外の部分でもある程度男としての雰囲気を出せていればの話で、好きじゃないければただのATMになるだけなんだわ。
2279,ゴキブリは勝手に部屋にいて予想出来ない動きするから嫌なのであって、たとえばある日玄関先にゴキブリが来て「申し訳ありませんが住まわせて頂けませんか、食事は床のゴミクズで充分ですし言うことも聞きますので」と三つ指ついてお願いされたら許す気にならないわやっぱキモいわ,ゴキブリは勝手に部屋にいて予想出来ない動きするから嫌なのであって、たとえばある日玄関先にゴキブリが来て「申し訳ありませんが住まわせて頂けませんか、食事は床のゴミクズで充分ですし言うことも聞きますので」と三つ指ついてお願いされたら許す気にならないわやっぱ好きじゃないいわ
2280,お前の方こそキモくてで草 https://t.co/CI1DbHF9PB,お前の方こそ好きじゃないくてで草 https://t.co/CI1DbHF9PB
2281,RT @ryoma_v2: 結婚を意識したフェーズでは年収とかの条件で足切りしてその上でキモくないかを判定しているし、さらに結婚とかを全く意識しない若い女との自由恋愛で求められるのは「雰囲気」だよ。オス度の高さとか、余裕とか、慣れ感とか。そういうの、金あればモテると思ってる内に…,RT @ryoma_v2: 結婚を意識したフェーズでは年収とかの条件で足切りしてその上で好きじゃないくないかを判定しているし、さらに結婚とかを全く意識しない若い女との自由恋愛で求められるのは「雰囲気」だよ。オス度の高さとか、余裕とか、慣れ感とか。そういうの、金あればモテると思ってる内に…
2282,@yukinenotsuki やった！！こんなストーカーみたいな執着心でやる気出して貰えるなんて…😂😂（キモい）いつでもお待ちしてますっ！！💪✨拙い所は多いと思うんですが、手前味噌ながら面白いのでっ…！！早くお手に取って頂きたいです！笑,@yukinenotsuki やった！！こんなストーカーみたいな執着心でやる気出して貰えるなんて…😂😂（好きじゃないい）いつでもお待ちしてますっ！！💪✨拙い所は多いと思うんですが、手前味噌ながら面白いのでっ…！！早くお手に取って頂きたいです！笑
2283,うめき声が聞こえてキモい,うめき声が聞こえて好きじゃないい
2284,@NOVA_Like_guren 誇張抜きにぜーーーんぶのツイートにふぁぼするからキモかった。もうブロックしたったわ。,@NOVA_Like_guren 誇張抜きにぜーーーんぶのツイートにふぁぼするから好きじゃないかった。もうブロックしたったわ。
2285,キモこいつ,好きじゃないこいつ
2286,だって彼氏の高校ヤンキーとかギャルばっかりだから元カノギャルなのかなー？って思ったら普通に清楚なんだもんキモWWWそこ攻める？WWW,だって彼氏の高校ヤンキーとかギャルばっかりだから元カノギャルなのかなー？って思ったら普通に清楚なんだもん好きじゃないWWWそこ攻める？WWW
2287,○○に共感する人RT とか昔は寛容だったけど今は迷惑なことだと思うようになった。商品は皆バズるための標的と捉えるのが嫌なんだけど、どうもこういう繊細さが仇となるような気がしてならない。こだわり過ぎるとドン引きされるのは昔からだけど… https://t.co/tVzIfTo9ut,○○に共感する人RT とか昔は寛容だったけど今は迷惑なことだと思うようになった。商品は皆バズるための標的と捉えるのが嫌なんだけど、どうもこういう繊細さが仇となるような気がしてならない。こだわり過ぎるとドン引きされるのは昔からだけど… https://t.co/tVzIfTo9ut
2288,@air_pokeka @kokoroirekaeru1 @mi2_pcg みっつんキモいそれはそう,@air_pokeka @kokoroirekaeru1 @mi2_pcg みっつん好きじゃないいそれはそう
2289,Mikusatornitori こういうツイートよく見るけど、嫌いなもんよく聞いて・見てとか言われても無理な話。逆に自分が嫌いなもんよく聞いたり見てみろよ、無理だろ？ そんなだからボカロ厨キモいとか言われるんだよ。自分で価値下げて… https://t.co/olMGWbBPOd,Mikusatornitori こういうツイートよく見るけど、嫌いなもんよく聞いて・見てとか言われても無理な話。逆に自分が嫌いなもんよく聞いたり見てみろよ、無理だろ？ そんなだからボカロ厨好きじゃないいとか言われるんだよ。自分で価値下げて… https://t.co/olMGWbBPOd
2290,まじで笑わせんなキモすぎW,まじで笑わせんな好きじゃないすぎW
2291,@tabletqukuri_ キモすぎて好き～🥰,@tabletqukuri_ 好きじゃないすぎて好き～🥰
2292,RT @kuso2ch: 【悲報】小説家になろうのランキング、キモさがいよいよ極まる https://t.co/OGhUzN6n4z,RT @kuso2ch: 【悲報】小説家になろうのランキング、好きじゃないさがいよいよ極まる https://t.co/OGhUzN6n4z
2293,@nhk_news 下着チェックとかキモいんだよ💢頭おかしいよ,@nhk_news 下着チェックとか好きじゃないいんだよ💢頭おかしいよ
2294,話のキモ（肝）とは、伝えるべき中心テーマのこと。「そもそもなぜ～なのか？」という疑問に答える内容のことです。　－＜わかりやすさ＞の勉強法,話の好きじゃない（肝）とは、伝えるべき中心テーマのこと。「そもそもなぜ～なのか？」という疑問に答える内容のことです。　－＜わかりやすさ＞の勉強法
2295,化学はキモいし何の役にも立たないのでやらなくてオケ！笑笑,化学は好きじゃないいし何の役にも立たないのでやらなくてオケ！笑笑
2296,RT @mumuri7575: 制服のスカートの丈の長さも決められないのに性交の同意はできるってキモい,RT @mumuri7575: 制服のスカートの丈の長さも決められないのに性交の同意はできるって好きじゃないい
2297,RT @senninsou: 🏏「キモカップルとアホアホカップルがいると聞いた」🏉「多分どっちも🤕と🔦さんの事だと思うぜ！！！！！！！(大声)(悪気なし)」,RT @senninsou: 🏏「好きじゃないカップルとアホアホカップルがいると聞いた」🏉「多分どっちも🤕と🔦さんの事だと思うぜ！！！！！！！(大声)(悪気なし)」
2298,オ蘭の剣盾実況ヨロイ島で豪雨の海岸に立ってるネズを見つけたときのキモい笑い声、1番面白い説ある。,オ蘭の剣盾実況ヨロイ島で豪雨の海岸に立ってるネズを見つけたときの好きじゃないい笑い声、1番面白い説ある。
2299,RT @hana_hanametal: 「最初に知った時はどうせアイドルがなんちゃってな感じでやってんだろと予想してたけど、一度聴いたら まんまとハマってドキモはヘビロテで聴いてた」草野さんHR/HM好きなんですよね#ロック大陸漫遊記 https://t.co/0CxBn…,RT @hana_hanametal: 「最初に知った時はどうせアイドルがなんちゃってな感じでやってんだろと予想してたけど、一度聴いたら まんまとハマってド好きじゃないはヘビロテで聴いてた」草野さんHR/HM好きなんですよね#ロック大陸漫遊記 https://t.co/0CxBn…
2300,ちょっと病ませて(&gt;&lt;)もう、なんで私無職の相手と付き合った？30代やぞ？！んで、クソな大学生となぜ私付き合った？もっとましなのいるやろ！クソでもいいからデートはなんで私持ちなの！ほとんど！死ねよ！カス！割り勘なら分かる… https://t.co/jIVqUxFXmT,ちょっと病ませて(&gt;&lt;)もう、なんで私無職の相手と付き合った？30代やぞ？！んで、クソな大学生となぜ私付き合った？もっとましなのいるやろ！クソでもいいからデートはなんで私持ちなの！ほとんど！見たくない！カス！割り勘なら分かる… https://t.co/jIVqUxFXmT
2301,大丈夫だよ～怒ってないからねぇ～。ぷちゅっちゅ。死ねよバーカ。愛してるからねぇ～。ぷちゅっちゅ。この世から消えてなくなれクズヤロウ。なーんてねｗ,大丈夫だよ～怒ってないからねぇ～。ぷちゅっちゅ。見たくないバーカ。愛してるからねぇ～。ぷちゅっちゅ。この世から消えてなくなれクズヤロウ。なーんてねｗ
2302,ロリコン共さっさと死ねよｗｗｗｗ犯罪者ｗｗｗｗｗ,ロリコン共さっさと見たくないｗｗｗｗ犯罪者ｗｗｗｗｗ
2303,はぁ、怖いなぁwすれ違っただけで死ねよって言われた〜😇,はぁ、怖いなぁwすれ違っただけで見たくないって言われた〜😇
2304,早く死ねよ毒親,早く見たくない毒親
2305,とある現場でチェキが終わってライブ開始までの時間連番2人に置いてかれて1人で暇になってしまったちぃたゃん！そして1人でカラオケに入るちぃたゃん！そして自分の歌声を録音するちぃたゃん！そして今その録音を見つけたちぃたゃん！地獄か！今… https://t.co/nxGl1u5ISf,とある現場でチェキが終わってライブ開始までの時間連番2人に置いてかれて1人で暇になってしまったちぃたゃん！そして1人でカラオケに入るちぃたゃん！そして自分の歌声を録音するちぃたゃん！そして今その録音を見つけたちぃたゃん！地獄か！今… https://t.co/nxGl1u5ISf
2306,RT @oshabaku_53: 胡桃沢とかいうデブまじで目障りだから死ねよ,RT @oshabaku_53: 胡桃沢とかいうデブまじで目障りだから見たくない
2307,ガチだるいんだけど一回死ねよほんとに,ガチだるいんだけど一回見たくないほんとに
2308,「先落ち死ねよ」,「先落ち見たくない」
2309,そういうの突き詰めていったらお前生きる意味ないけん死ねよにならんか,そういうの突き詰めていったらお前生きる意味ないけん見たくないにならんか
2310,腹立つ ふざけんなよ死ねよくそ,腹立つ ふざけんなよ見たくないくそ
2311,初ゲ確定と10連イベガチャ死ねよ https://t.co/cij8bGqcEF,初ゲ確定と10連イベガチャ見たくない https://t.co/cij8bGqcEF
2312,小学生が横断歩道渡りそうな位置にいたから止まったら交通指導員さんに「自転車の方先どうぞ♪」って言われて行こうとしたら「は？ババアなに譲ってんだよ、歩行者優先なの知らねぇの？カスかよ死ねよ」って言いながらガキが渡り始めてカオスだった… https://t.co/s29FORjkab,小学生が横断歩道渡りそうな位置にいたから止まったら交通指導員さんに「自転車の方先どうぞ♪」って言われて行こうとしたら「は？ババアなに譲ってんだよ、歩行者優先なの知らねぇの？カスかよ見たくない」って言いながらガキが渡り始めてカオスだった… https://t.co/s29FORjkab
2313,ほんまにずるいよ。人のネタをパクリやがってよ。俺が賢いだけだあって、お前らはただのパクり魔だろーが。だから運ゲーなんだよ。死ねよゴミ。,ほんまにずるいよ。人のネタをパクリやがってよ。俺が賢いだけだあって、お前らはただのパクり魔だろーが。だから運ゲーなんだよ。見たくないゴミ。
2314,今生きていること…ネガティブで申し訳ないけれど、それが証拠どころか、今生きていることを消したくてたまりません。じゃあ口ばっかりじゃなくてさっさと死ねよ、と自分には思うのですが、色々となかなか。 #Peing #質問箱 https://t.co/jqFsG8ZvCR,今生きていること…ネガティブで申し訳ないけれど、それが証拠どころか、今生きていることを消したくてたまりません。じゃあ口ばっかりじゃなくてさっさと見たくない、と自分には思うのですが、色々となかなか。 #Peing #質問箱 https://t.co/jqFsG8ZvCR
2315,RT @maliyatype001: @nashimurakasm2 @vaccine_utsuna @ninmio 「死ねよ」とか「ババア」とかいうのがこの方の身の丈に合ってるんでしょうね。「リアルで言いにくい事全般のアカウント」らしいですが、いくらリアルで言えなくてもS…,RT @maliyatype001: @nashimurakasm2 @vaccine_utsuna @ninmio 「見たくない」とか「ババア」とかいうのがこの方の身の丈に合ってるんでしょうね。「リアルで言いにくい事全般のアカウント」らしいですが、いくらリアルで言えなくてもS…
2316,@nashimurakasm2 @vaccine_utsuna @ninmio 「死ねよ」とか「ババア」とかいうのがこの方の身の丈に合ってるんでしょうね。「リアルで言いにくい事全般のアカウント」らしいですが、いくらリアルで言え… https://t.co/J3iffIby6c,@nashimurakasm2 @vaccine_utsuna @ninmio 「見たくない」とか「ババア」とかいうのがこの方の身の丈に合ってるんでしょうね。「リアルで言いにくい事全般のアカウント」らしいですが、いくらリアルで言え… https://t.co/J3iffIby6c
2317,１人気でわざと負けやがって！！！！矢野！！！！！死ねよ！！、！！！！！,１人気でわざと負けやがって！！！！矢野！！！！！見たくない！！、！！！！！
2318,死ねよクズ野郎,見たくないクズ野郎
2319,お姉ちゃんの彼氏うっざいんだけどお兄ちゃんが選んでくれたくっそ可愛い靴2足お姉ちゃんに見せてたら「別に可愛くなくね」って横から口挟んできて死ねよってなった普通に死ね,お姉ちゃんの彼氏うっざいんだけどお兄ちゃんが選んでくれたくっそ可愛い靴2足お姉ちゃんに見せてたら「別に可愛くなくね」って横から口挟んできて見たくないってなった普通に死ね
2320,死ねよこのジジイ,見たくないこのジジイ
2321,ピンも刺さねえで突っ込んでダメージも一番下で勝手に死んで敵の場所も報告せずに起こせだ？死ねよ辞めちまえ人に迷惑かけることしか出来ねえならマジで死ねよそういう奴は死んでいいよ,ピンも刺さねえで突っ込んでダメージも一番下で勝手に死んで敵の場所も報告せずに起こせだ？見たくない辞めちまえ人に迷惑かけることしか出来ねえならマジで見たくないそういう奴は死んでいいよ
2322,ホンマにお前死ねよ https://t.co/TMsec0uPQL,ホンマにお前見たくない https://t.co/TMsec0uPQL
2323,今すぐ会いたいけど私がまず100%デートの脳にできないというジレンマ　真面目な私死ねよマジでな　一回本当忘れよーぜ　順調って言われたし羽目外しても大丈夫だよ,今すぐ会いたいけど私がまず100%デートの脳にできないというジレンマ　真面目な私見たくないマジでな　一回本当忘れよーぜ　順調って言われたし羽目外しても大丈夫だよ
2324,ヒロ：蚊死ねよ「深夜に被害者宅に忍び込んで首や脚など計６箇所をめった刺し、犯人はその後逃走」これだけ見たら大事件じゃねーかよ　警察動けよ,ヒロ：蚊見たくない「深夜に被害者宅に忍び込んで首や脚など計６箇所をめった刺し、犯人はその後逃走」これだけ見たら大事件じゃねーかよ　警察動けよ
2325,いやほんとにダラダラ生きてる姿見てると100年の恋も冷めるってやつよ推しに対して「さっさと死ねよ💢💢💢💢」って思うことあるし、そうなった瞬間に推しじゃなくなるしかし生きてるのがダメなわけじゃない、生き汚い推しもいるから（例:葛… https://t.co/YumAPcLQ3B,いやほんとにダラダラ生きてる姿見てると100年の恋も冷めるってやつよ推しに対して「さっさと見たくない💢💢💢💢」って思うことあるし、そうなった瞬間に推しじゃなくなるしかし生きてるのがダメなわけじゃない、生き汚い推しもいるから（例:葛… https://t.co/YumAPcLQ3B
2326,さっきいたんだけど路上喫煙する奴は死ねよ それか俺が殺してえわ #喫煙者死ね,さっきいたんだけど路上喫煙する奴は見たくない それか俺が殺してえわ #喫煙者死ね
2327,チルウェルがルークショーと対等だと思ってるチェルサポきっしょほんとに見る目ないから死ねよ,チルウェルがルークショーと対等だと思ってるチェルサポきっしょほんとに見る目ないから見たくない
2328,桑水の声で躱してんじゃねえよ死ねよって言って貰えるんだ……いいなあ……,桑水の声で躱してんじゃねえよ見たくないって言って貰えるんだ……いいなあ……
2329,は？死ねよガラテア使ってるやつ俺がガラテアばんされてる間使えて上あがったやつ死ねカス,は？見たくないガラテア使ってるやつ俺がガラテアばんされてる間使えて上あがったやつ死ねカス
2330,親が産んでくれた身体で親が買った家の中で親が買ってくれた服を着て親が買ってくれた携帯で「親死ねよ」親になった時、貴方の子がこれを書いているのを見たらどう思うだろうか。,親が産んでくれた身体で親が買った家の中で親が買ってくれた服を着て親が買ってくれた携帯で「親見たくない」親になった時、貴方の子がこれを書いているのを見たらどう思うだろうか。
2331,早く死ねよ！クソ親父！,早く見たくない！クソ親父！
2332,「ニートは働けよ。でも雇わないよ。だけど親のすねもかじるなよ。かといって生活保護なんか受ける資格ないからな。自殺は罪だぞ。心中もするなよ。犯罪に走るなよ。さっさと死ねよ」ってのが今の日本。,「ニートは働けよ。でも雇わないよ。だけど親のすねもかじるなよ。かといって生活保護なんか受ける資格ないからな。自殺は罪だぞ。心中もするなよ。犯罪に走るなよ。さっさと見たくない」ってのが今の日本。
2333,あ〜死ね死ね死ね死ねよマジで死んでくれ,あ〜死ね死ね死ね見たくないマジで死んでくれ
2334,あははははははｗｗｗｗｗｗｗｗｗｗ馬鹿じゃないのｗｗｗｗあの人がお前好きになるわけないじゃんｗｗｗｗ彼女なんて嘘つくな!!!あの人の彼女は僕だもん!!お前嫌いなんだよ、あの人に近づくから。あの人が汚れるだろ!!?死ねよ、死ね!!!!殺してやる!!,あははははははｗｗｗｗｗｗｗｗｗｗ馬鹿じゃないのｗｗｗｗあの人がお前好きになるわけないじゃんｗｗｗｗ彼女なんて嘘つくな!!!あの人の彼女は僕だもん!!お前嫌いなんだよ、あの人に近づくから。あの人が汚れるだろ!!?見たくない、死ね!!!!殺してやる!!
2335,3回死ねよ( ◠‿◠ )　　じゃあ4回死ねよ(☝ ՞ਊ ՞）☝,3回見たくない( ◠‿◠ )　　じゃあ4回見たくない(☝ ՞ਊ ՞）☝
2336,こいつマジで死ねよAFしか止められないつまらないゴミデッキで運だけムーブかましてきやがってウザいな雑魚がお前みたいウンコ製造機と違ってこっちは忙しいんだから邪魔すんなボケ https://t.co/XQGymfn3Gn,こいつマジで見たくないAFしか止められないつまらないゴミデッキで運だけムーブかましてきやがってウザいな雑魚がお前みたいウンコ製造機と違ってこっちは忙しいんだから邪魔すんなボケ https://t.co/XQGymfn3Gn
2337,G死ねよ  まじでしね死ななくてもいいから地球上から消え失せろ火星にでも行ってろ,G見たくない  まじでしね死ななくてもいいから地球上から消え失せろ火星にでも行ってろ
2338,死ねよゴミパッシブwwwwwwww,見たくないゴミパッシブwwwwwwww
2339,@tonjiru_mannn 死ねよお前🖕,@tonjiru_mannn 見たくないお前🖕
2340,友達と出かける時ロリィタ着て準備してるだけで俺の隣歩く時はそれ絶対着ないでね😅みたいな感じで言ってく奴ばっかりやったし言われんでも着ねぇから死ねよとなるゎょな(笑) 女フォロワーロリデしよや,友達と出かける時ロリィタ着て準備してるだけで俺の隣歩く時はそれ絶対着ないでね😅みたいな感じで言ってく奴ばっかりやったし言われんでも着ねぇから見たくないとなるゎょな(笑) 女フォロワーロリデしよや
2341,自分死ねよ！！散々大切な人を傷つけて　生きてちゃいけない事くらい気づけ！！,自分見たくない！！散々大切な人を傷つけて　生きてちゃいけない事くらい気づけ！！
2342,目が合ったのか私に近づいて来て、ダラダラと話しかけてくるナンパ男に遭遇したんだけどイケメンなら話は聞いてやる、ただブスが頑張ってナンパするなよ死ねよって、,目が合ったのか私に近づいて来て、ダラダラと話しかけてくるナンパ男に遭遇したんだけどイケメンなら話は聞いてやる、ただブスが頑張ってナンパするなよ見たくないって、
2343,@Rmax002 生きてる時点で君はもうイキってるしょうもないから死ねよ,@Rmax002 生きてる時点で君はもうイキってるしょうもないから見たくない
2344,死ねよ、ブス♡,見たくない、ブス♡
2345,利敵死ねよ https://t.co/l8aJ1OulHh,利敵見たくない https://t.co/l8aJ1OulHh
2346,うわ、至急で対応しろとか来た死ねよマジで,うわ、至急で対応しろとか来た見たくないマジで
2347,マジで死ねよ,マジで見たくない
2348,なんで雨降ってんの死ねよ,なんで雨降ってんの見たくない
2349,プロフにほしい物リスト書いてるまんこは全員死ねよな,プロフにほしい物リスト書いてるまんこは全員見たくないな
2350,100ワニの作者がワニと一緒に死ねよって書かれて裁判起こすっていう隠キャっぷり発動したのに敗訴してんのワロタってことは死ねよだけじゃ裁判負けないんやね覚えとこ☺️,100ワニの作者がワニと一緒に見たくないって書かれて裁判起こすっていう隠キャっぷり発動したのに敗訴してんのワロタってことは見たくないだけじゃ裁判負けないんやね覚えとこ☺️
2351,@masabow0323 誰が楽しんでこの台打てんだよバカかよ死ねよ開発者,@masabow0323 誰が楽しんでこの台打てんだよバカかよ見たくない開発者
2352,チャージ機の前でもたもた財布しまってるババア死ねよ後ろに並んでんだからチャージし終わったなら横に避けて財布しまえやてめえのせいで電車逃したんだが,チャージ機の前でもたもた財布しまってるババア見たくない後ろに並んでんだからチャージし終わったなら横に避けて財布しまえやてめえのせいで電車逃したんだが
2353,「死ぬwwwwwwwww」とか言ってるJK見ると、なら死ねよとか思っちゃう俺キモイ？(キモイ,「死ぬwwwwwwwww」とか言ってるJK見ると、なら見たくないとか思っちゃう俺キモイ？(キモイ
2354,「俺はお前を利用してるよ」「そっか、おれはきみを食べたいだけだよ」「お前死ねよ」「章を食べるまで死にたくないかな」,「俺はお前を利用してるよ」「そっか、おれはきみを食べたいだけだよ」「お前見たくない」「章を食べるまで死にたくないかな」
2355,電車で全然可愛くない子が友達とバカでかい声で「まじブス死ねよ〜」って言ってたけどそしたらたぶんお前死ぬよ🤔,電車で全然可愛くない子が友達とバカでかい声で「まじブス見たくない〜」って言ってたけどそしたらたぶんお前死ぬよ🤔
2356,@yuinee1425 死ねよとまではさすがに言わんけどwww今日のあれ見た？まじでなんなんあいつ仕事出来んくせによくあんなするよな、それするならあれもせろよ〜とか、なんあの顔きもすぎ笑 みたいな可愛い感じよ笑,@yuinee1425 見たくないとまではさすがに言わんけどwww今日のあれ見た？まじでなんなんあいつ仕事出来んくせによくあんなするよな、それするならあれもせろよ〜とか、なんあの顔きもすぎ笑 みたいな可愛い感じよ笑
2357,国語40点だった😿先生に勉強した？ってみんなの前で聞かれた😾😾死ねよな😾😾😾,国語40点だった😿先生に勉強した？ってみんなの前で聞かれた😾😾見たくないな😾😾😾
2358,@ydb_yokohama @futabasha_pr @sn_baseball_jp 死ねよマジでふざけるなよ馬鹿何が継承と革新だよ破壊と暗黒に題名変えろよ馬鹿,@ydb_yokohama @futabasha_pr @sn_baseball_jp 見たくないマジでふざけるなよ馬鹿何が継承と革新だよ破壊と暗黒に題名変えろよ馬鹿
2359,死ねよ死ねよ死ね死ね死ね死ね死ね,見たくない見たくない死ね死ね死ね死ね死ね
2360,マジ死ねよ、クソ男性看護師N,マジ見たくない、クソ男性看護師N
2361,マジ男性クソ看護師死ねよバーカ。○すぞ🔪死ねばいいのに🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪,マジ男性クソ看護師見たくないバーカ。○すぞ🔪死ねばいいのに🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪
2362,@_mizukich1_ おまえやべーよそれwwみずきまじで使えねーわ死ねよ😁こんな感じけw,@_mizukich1_ おまえやべーよそれwwみずきまじで使えねーわ見たくない😁こんな感じけw
2363,じゃあ死ねよhttps://t.co/3DQHlHCPMz,じゃあ見たくないhttps://t.co/3DQHlHCPMz
2364,@yutahatimituu 死ねよ無職デブ,@yutahatimituu 見たくない無職デブ
2365,RT @whensaramndrliv: なんかもう自己犠牲に走る人見ても、そのまま背負いこんで潰れて死ねよとしか思わなくなったなｗシンプルに経済の問題だから,RT @whensaramndrliv: なんかもう自己犠牲に走る人見ても、そのまま背負いこんで潰れて見たくないとしか思わなくなったなｗシンプルに経済の問題だから
2366,メンヘラにヘラヘラ媚びへつらうてめえらの方がよっぽど病んでんだよ気持ち悪いな、死ねよファッションバンドマン。,メンヘラにヘラヘラ媚びへつらうてめえらの方がよっぽど病んでんだよ気持ち悪いな、見たくないファッションバンドマン。
2367,陰キャ「うっわwww陰キャキモスギィ！www死ねよwww」,陰キャ「うっわwww陰キャキモスギィ！www見たくないwww」
2368,ドブったの死ねよ https://t.co/oCRRCgZYQd,ドブったの見たくない https://t.co/oCRRCgZYQd
2369,全員投票しろと言った結果がこれ生きてて恥ずかしくないの？死ねよ https://t.co/y2EVRnDozA,全員投票しろと言った結果がこれ生きてて恥ずかしくないの？見たくない https://t.co/y2EVRnDozA
2370,なんかもう自己犠牲に走る人見ても、そのまま背負いこんで潰れて死ねよとしか思わなくなったなｗシンプルに経済の問題だから,なんかもう自己犠牲に走る人見ても、そのまま背負いこんで潰れて見たくないとしか思わなくなったなｗシンプルに経済の問題だから
2371,今friendから送られて来た私の写真頭の形きっしょ鼻低すぎてないじゃん、死ねよ気持ち悪、、こんなんで生きてるとか恥ずかしいと思え… https://t.co/YjG5VFNIqK,今friendから送られて来た私の写真頭の形きっしょ鼻低すぎてないじゃん、見たくない気持ち悪、、こんなんで生きてるとか恥ずかしいと思え… https://t.co/YjG5VFNIqK
2372,みふ「平日考えた奴マジ死ねよ」,みふ「平日考えた奴マジ見たくない」
2373,店長死ねよマジで仕事やめたい何が、合格しろよやねんバカにしすぎやろ,店長見たくないマジで仕事やめたい何が、合格しろよやねんバカにしすぎやろ
2374,マイガール限定見るためだけにマイガール入れては外しをするオスどもきっしょ死ねよ🥺🎶,マイガール限定見るためだけにマイガール入れては外しをするオスどもきっしょ見たくない🥺🎶
2375,あいつは遠慮ってもんを知らない！死ねよ～（しかし顔はにやけている）,あいつは遠慮ってもんを知らない！見たくない～（しかし顔はにやけている）
2376,は？シミオン(死ねよの空耳),は？シミオン(見たくないの空耳)
2377,@umeno_tora44 @Lica0715Posse お前が死ねよ,@umeno_tora44 @Lica0715Posse お前が見たくない
2378,午後出社。会社到着。また「死ねよ」ってキレてる上司の声が聞こえる。。🙃,午後出社。会社到着。また「見たくない」ってキレてる上司の声が聞こえる。。🙃
2379,チャラドビ死ねよ…,チャラドビ見たくない…
2380,J( '-`)し「早くエビ食って死ねよクズ息子…」,J( '-`)し「早くエビ食って見たくないクズ息子…」
2381,観光協会員｢Gotoでは色々バレて叩かれちゃいましたね〜…もう稼げないですかね〜…｣二階｢大丈夫だ！次はオリンピックがある！そこを敢行して観光させるからｗ世界行事だから愚民如きに止められんだろ！｣二階  観光協会員｢あは… https://t.co/KEKrtl3zWk,観光協会員｢Gotoでは色々バレて叩かれちゃいましたね〜…もう稼げないですかね〜…｣二階｢大丈夫だ！次はオリンピックがある！そこを敢行して観光させるからｗ世界行事だから愚民如きに止められんだろ！｣二階  観光協会員｢あは… https://t.co/KEKrtl3zWk
2382,クソ疲れたあと9時間以上仕事かよ死ねよ6連勤目だぞ,クソ疲れたあと9時間以上仕事かよ見たくない6連勤目だぞ
2383,相手にネイチャいなきゃ大体123フィニッシュだけどいると死ぬ死ねよ陰キャw,相手にネイチャいなきゃ大体123フィニッシュだけどいると死ぬ見たくない陰キャw
2384,自分で早く死ねよ早く自分で死ねよ！！ってよくお母さんに言われるんだけど日本語がよくわからんなんで急にこれいつも言われるのかもよく分からん挨拶か何かだと思ってるんか？,自分で早く見たくない早く自分で見たくない！！ってよくお母さんに言われるんだけど日本語がよくわからんなんで急にこれいつも言われるのかもよく分からん挨拶か何かだと思ってるんか？
2385,死ねよーー,見たくないーー
2386,社畜衛門くん、仕事中に原料をぶちまけてしまうもセーフ🥴🥴🥴🥴🥴原薬メーカーの指示通りに開けたら内袋亀裂入ってそこから漏れたわ死ねよボケが,社畜衛門くん、仕事中に原料をぶちまけてしまうもセーフ🥴🥴🥴🥴🥴原薬メーカーの指示通りに開けたら内袋亀裂入ってそこから漏れたわ見たくないボケが
2387,一人で別のとこ降りて「プレ狩りされましたぁ😢僕のせいじゃないって言って、みんな😢」ってお前のせいだろうが死ねよ😅😅😅😅アンチに叩かれて病め😅😅😅😅,一人で別のとこ降りて「プレ狩りされましたぁ😢僕のせいじゃないって言って、みんな😢」ってお前のせいだろうが見たくない😅😅😅😅アンチに叩かれて病め😅😅😅😅
